parameter_id,IMPC_DXA_008_001
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
pvalue,0.7906991
analysis_id,t5um2wt765o3p00
parameter_name,Lean/Body weight
