parameter_name,Neural tube closure
mouse_strain,C57BL
gene_symbol,Pld1
gene_accession_id,MGI:109585
pvalue,0.06499422
mouse_life_stage,Early adult
analysis_id,b7tf82f9hf8xsws
parameter_id,IMPC_GEL_027_001
