parameter_name,DN NKT cells
parameter_id,IMPC_IMM_013_001
analysis_id,59a38fme1p1jy74
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.05236532
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
