analysis_id,12i3r2qxl77bx6h
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
mouse_strain,C57BL
gene_symbol,Lpgat1
pvalue,0.9926143
