gene_symbol,Tatdn3
parameter_name,Number of rears - total
analysis_id,1u9g4091uv4671p
gene_accession_id,MGI:1916222
mouse_strain,C59BL
mouse_life_stage,Early adult
pvalue,0.7068524
parameter_id,JAX_OFD_021_001
