parameter_name,Fusion of vertebrae
analysis_id,95938595l846fid
mouse_strain,C57BL
pvalue,0.6946162
gene_symbol,Mecom
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
