analysis_id,7p2702w58y2n3e3
mouse_life_stage,Early adult
pvalue,0.440772
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
parameter_name,Percentage center time
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
