parameter_name,Anophthalmia
mouse_life_stage,E9.5
parameter_id,IMPC_GEO_048_002
pvalue,0.4983291
analysis_id,4trwjx8t4541977
mouse_strain,C57BL
gene_symbol,Hspa5
gene_accession_id,MGI:95835
