analysis_id,6928fbk82d0b598
mouse_life_stage,Early adult
gene_symbol,Eprs1
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:97838
mouse_strain,C57BL
pvalue,0.06949326
