analysis_id,8fjg0vx16s8t9id
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_name,MZB (CD21/35 high)
mouse_life_stage,E9.5
pvalue,0.8049359
parameter_id,IMPC_IMM_071_001
gene_symbol,Ints7
