gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_name,Red blood cell count
mouse_life_stage,Early adult
pvalue,0.6792596
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:1924054
analysis_id,p07l4t7p8o78lsd
