gene_symbol,Npbwr1
gene_accession_id,MGI:891989
analysis_id,qu3y30gmp2znw20
mouse_life_stage,Early adult
pvalue,0.6504558
mouse_strain,C57BL
parameter_id,IMPC_HWT_008_001
parameter_name,Heart weight
