analysis_id,cc0h340xx8706z8
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_name,% Pre-pulse inhibition - Global
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_037_001
pvalue,0.7893472
mouse_strain,B6J
