parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
gene_symbol,Arnt
pvalue,0.2405829
mouse_strain,C57BL
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
analysis_id,37qo0q61dydp7rg
