analysis_id,80n8e6f9h947545
parameter_name,Hindpaw - size
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
parameter_id,JAXLA_CSD_041_002
pvalue,0.5714277
gene_symbol,Zyg11b
