analysis_id,cd42oaw521d8mk6
parameter_name,Fasted blood glucose concentration
parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dhdds
pvalue,0.7030744
