analysis_id,v2u588085k5rakz
pvalue,0.9660869
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:106659
mouse_strain,C57BL
parameter_name,Triglycerides
mouse_life_stage,Early adult
gene_symbol,Sprr1b
