analysis_id,785ekoyi9465843
parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
pvalue,0.6095614
gene_symbol,Abo
parameter_name,Alanine aminotransferase
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
