analysis_id,1b1b1114355591j
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
pvalue,0.1356466
