analysis_id,1513eawn566926u
gene_accession_id,MGI:2135738
parameter_name,Head coat/hair presence
mouse_strain,C57BL
gene_symbol,Abo
pvalue,0.5573038
mouse_life_stage,Early adult
parameter_id,MGP_CSD_015_001
