parameter_name,eye size
mouse_strain,C57BL
pvalue,0.2318877
parameter_id,ESLIM_001_001_117
mouse_life_stage,Early adult
gene_symbol,Psd4
analysis_id,5l8i1ypakvlueye
gene_accession_id,MGI:2674093
