parameter_id,IMPC_IMM_067_001
parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.3123921
mouse_strain,C57BL
gene_symbol,Abo
mouse_life_stage,Early adult
analysis_id,e94i197k63i80oa
gene_accession_id,MGI:2135738
