parameter_name,Periphery permanence time
mouse_strain,C57BL
pvalue,0.4268851
analysis_id,iue9z8wa07ea58f
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
parameter_id,JAX_OFD_012_001
gene_accession_id,MGI:2385156
