analysis_id,y56dc2wo33b0i42
pvalue,0.8684967
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
