gene_symbol,Psmd14
analysis_id,p67d645njle57ck
mouse_strain,C57BL
parameter_id,IMPC_HEM_036_001
pvalue,0.5709307
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
parameter_name,Eosinophil cell count
