gene_symbol,Cdin1
analysis_id,y1367g326k2must
pvalue,0.1402275
parameter_id,ESLIM_007_001_005
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_name,Whole arena average speed
mouse_life_stage,E9.5
