mouse_strain,B6J
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
pvalue,0.2239952
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
analysis_id,31ir74h31ps4h0c
