analysis_id,101i680864a6865
mouse_strain,129SV
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
mouse_life_stage,Early adult
pvalue,0.3665876
parameter_name,BMC/Body weight
