analysis_id,sf4s818tq92t0u6
mouse_life_stage,Early adult
parameter_name,KLRG1+ mature NK cell number
parameter_id,MGP_PBI_031_001
mouse_strain,C57BL
pvalue,0.3707131
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
