analysis_id,970wx7r665706hs
mouse_strain,C57BL
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
pvalue,0.4927824
parameter_name,Ventral coat/hair presence
