parameter_name,Retina (combined)
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
analysis_id,5gqr461964n6l83
mouse_strain,C57BL
pvalue,0.5355809
parameter_id,IMPC_EYE_092_001
gene_symbol,Tbl1xr1
