analysis_id,dk99gy0p5261pxb
pvalue,0.9549574
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
parameter_name,Right kidney weight
