analysis_id,r2r6sz307wb1hn9
mouse_strain,C51BL
parameter_id,JAX_OFD_012_001
pvalue,0.6681462
gene_accession_id,MGI:2685053
gene_symbol,Ntmt2
mouse_life_stage,Early adult
parameter_name,Periphery permanence time
