gene_symbol,Nipal3
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
parameter_name,Fasted blood glucose concentration
mouse_strain,129SV
analysis_id,466kj6u9laropeq
pvalue,0.9832929
