gene_symbol,Secisbp2l
analysis_id,42p035d8i58u07v
parameter_name,Delayed embryonic development
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
pvalue,0.3576241
mouse_strain,C57BL
