parameter_name,Center distance travelled
pvalue,0.2469346
gene_symbol,Nucks1
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
gene_accession_id,MGI:1934811
analysis_id,w7i40vy1vem1b29
mouse_life_stage,Late adult
