analysis_id,2n407iiizw9dh1k
mouse_strain,C57BL
pvalue,0.8317655
gene_symbol,Ufc1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
