analysis_id,25lgy0gw9cc18gw
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
pvalue,0.4936915
parameter_name,Eosinophil number
gene_symbol,Nemp2
