parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Late adult
gene_symbol,Lpgat1
analysis_id,rzqm1828r5kr801
pvalue,1.238409
mouse_strain,C57BL
parameter_name,Heart weight
gene_accession_id,MGI:2446186
