analysis_id,23y99k239y0778r
mouse_strain,C57BL
pvalue,0.2642296
gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_name,Effector Treg cells - % of CD45+
parameter_id,MGP_MLN_070_001
mouse_life_stage,E15.5
