gene_symbol,Slx4ip
parameter_name,Glucose
analysis_id,54ntad614f88s04
pvalue,0.6503403
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
