gene_symbol,Ints7
mouse_life_stage,E9.5
analysis_id,sb67j411250p1v3
parameter_id,IMPC_CBC_018_001
pvalue,0.7563679
gene_accession_id,MGI:1924315
parameter_name,Glucose
mouse_strain,C57BL
