analysis_id,8rm53ow1xk38n29
gene_accession_id,MGI:1919949
pvalue,0.9676652
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Percentage center time
gene_symbol,Lime1
parameter_id,IMPC_OFD_022_001
