parameter_id,M-G-P_005_001_001
analysis_id,771j2z602zo856k
pvalue,0.5656961
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_name,Weight
mouse_life_stage,Early adult
mouse_strain,129SV
