gene_symbol,Tatdn3
parameter_name,Total CD4+ T cells - % of CD45+
analysis_id,y7c71c03d2c8a8f
mouse_strain,C57BL
gene_accession_id,MGI:1916222
pvalue,0.9072207
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
