gene_symbol,Med22
gene_accession_id,MGI:98446
analysis_id,5v968qyub2wu52r
mouse_strain,C57BL
pvalue,0.338589
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
mouse_life_stage,Early adult
