analysis_id,v1w7mljtrk4yy62
parameter_id,MGP_MLN_021_001
gene_symbol,Traf6
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.4347445
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
