parameter_name,Total cholesterol
gene_accession_id,MGI:95835
mouse_strain,C57BL
analysis_id,934hz053as5397n
pvalue,0.2816621
gene_symbol,Hspa5
parameter_id,IMPC_CBC_015_001
mouse_life_stage,E9.5
