gene_symbol,Zcchc2
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.6419961
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444114
analysis_id,r2d5019330xy558
parameter_id,MGP_MLN_093_001
