parameter_name,White blood cell count
parameter_id,IMPC_HEM_001_001
mouse_strain,C57BL
gene_symbol,Etfdh
pvalue,0.8063395
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
analysis_id,i1qy46c51u81sg8
