parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
gene_symbol,Cds2
mouse_strain,C57BL
pvalue,0.4352764
analysis_id,3v4606x8y9zwjf9
