gene_symbol,Morn5
parameter_id,HMGULA_CBC_005_001
mouse_strain,C57BL
analysis_id,5kw218012wq15dp
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
parameter_name,Creatinine
pvalue,0.6259888
