gene_symbol,Lcn2
parameter_id,ESLIM_016_001_005
parameter_name,Mean cell volume
mouse_life_stage,Early adult
pvalue,0.8011141
analysis_id,jdu9djy5z24p48v
gene_accession_id,MGI:96757
mouse_strain,C59BL
