analysis_id,77o38d960272123
gene_symbol,Stk35
gene_accession_id,MGI:1914583
parameter_name,Lumbar processes
pvalue,0.2479162
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
