parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
analysis_id,0v3xarjrc479f95
mouse_strain,C52BL
mouse_life_stage,Late adult
gene_symbol,Hpca
pvalue,0.8550345
gene_accession_id,MGI:1336200
