analysis_id,94x71v77an670b9
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1917604
pvalue,0.8590948
