analysis_id,q7l46yj2gsd07rl
gene_accession_id,MGI:3046938
pvalue,0.1248328
gene_symbol,Hrnr
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
mouse_life_stage,Early adult
