gene_symbol,Sema6c
parameter_id,JAX_OFD_021_001
parameter_name,Number of rears - total
mouse_life_stage,Early adult
pvalue,0.9586953
gene_accession_id,MGI:1338032
analysis_id,r10m1p011oyjs8q
mouse_strain,C57BL
