gene_symbol,Ddx27
parameter_id,MGP_IMM_022_001
pvalue,0.8569564
analysis_id,2y8c78ox344v2bs
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
