analysis_id,u9sw20859b9036h
pvalue,0.9482161
gene_accession_id,MGI:1914515
parameter_name,Startle response
mouse_strain,C57BL
parameter_id,ESLIM_008_001_013
gene_symbol,Slc39a10
mouse_life_stage,Early adult
