parameter_name,Retina (combined)
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_life_stage,Early adult
analysis_id,t8b3o7fg8ar8666
pvalue,0.3164839
parameter_id,IMPC_EYE_092_001
