analysis_id,uugi987jz002vy4
parameter_id,IMPC_ACS_033_001
parameter_name,% Pre-pulse inhibition - PPI1
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
pvalue,0.2011539
mouse_strain,C57BL
