analysis_id,154e9ig3n6o3mjr
gene_symbol,Lpgat1
mouse_strain,C57BL
gene_accession_id,MGI:2446186
parameter_name,Eye
parameter_id,M-G-P_014_001_001
pvalue,0.1948111
mouse_life_stage,Late adult
