gene_symbol,Kcng1
parameter_id,IMPC_EYE_004_001
pvalue,0.391312
analysis_id,a4i4t2609w8681t
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
parameter_name,Eyelid morphology
